Encoder,LearningAlgorithm,Baseball,UKHouseOfCommons,ca2006,codling,gtcars,midwest,mpg,msleep,myeloid,nassCDS,races2000,terrorism,txhousing,us_rent_income,water
Binary,KNN,1.0458015267175573,1.698296836982968,1.1834319526627217,1.2685950413223148,0.759493670886077,1.181818181818182,0.965116279069767,1.4748784440842793,0.3781512605042011,1.372781065088757,1.2782171099928108,0.06382978723404513,1.2558139534883719,0.17088607594936706,0.0965517241379311
Binary,NN-1L,0.3511450381679388,0.656934306569343,0.18934911242603542,0.16115702479338842,0.9113924050632924,1.1590909090909092,0.1627906976744184,1.0307941653160457,0.35294117647058765,0.15384615384615394,0.16822429906542055,1.4510638297872385,0.3255813953488371,0.44303797468354433,0.03448275862068968
Binary,NN-2L,0.34351145038167924,0.4817518248175182,0.09861932938856022,0.033057851239669464,0.9704641350210984,1.272727272727273,0.06976744186046516,0.693679092382496,1.3613445378151254,0.9585798816568041,0.05607476635514016,1.3063829787234091,0.023255813953488393,0.2531645569620254,0.3724137931034486
Binary,RF,0.08396946564885503,0.7834549878345498,0.4339250493096645,0.838842975206612,0.27004219409282737,0.2215909090909093,0.1627906976744184,0.7617504051863859,0.193277310924369,0.3195266272189351,1.0682961897915169,0.3148936170212767,0.41860465116279055,0.1772151898734177,0.6068965517241384
Binary,SVM,0.8320610687022899,1.1727493917274938,1.080867850098619,1.1776859504132238,0.700421940928271,0.869318181818182,0.5930232558139532,1.6304700162074557,0.08403361344537823,0.36686390532544405,1.417685118619698,0.021276595744680448,0.9767441860465116,0.6455696202531648,0.35172413793103474
CatBoost,EN,2.564885496183206,3.2749391727493915,1.5502958579881654,2.619834710743803,1.6118143459915626,2.5625,2.633720930232557,1.6564019448946519,2.6890756302521006,2.6035502958579873,1.141624730409777,0.2255319148936173,13.348837209302323,3.278481012658228,1.8068965517241378
CatBoost,GBT,0.022900763358778647,0.4817518248175182,0.185404339250493,0.9297520661157028,0.7510548523206761,0.03409090909090912,0.19767441860465096,0.41491085899513774,0.5798319327731088,0.0,1.020848310567937,0.6170212765957481,0.3255813953488371,0.28481012658227856,1.1793103448275863
CatBoost,KNN,0.847328244274809,1.338199513381995,1.2031558185404339,1.2892561983471078,0.6497890295358659,1.090909090909091,0.7499999999999999,1.3711507293354948,0.15126050420167989,1.1360946745562124,1.272465851905104,0.059574468085107524,1.3488372093023255,0.12658227848101278,0.11724137931034492
CatBoost,NN-1L,0.18320610687022917,0.15571776155717762,0.14990138067061154,0.15289256198347106,1.2236286919831232,1.0056818181818186,0.3023255813953487,0.19124797406807126,0.27731092436974725,0.05917159763313613,0.13227893601725374,1.280851063829791,0.34883720930232553,0.018987341772151917,0.027586206896551745
CatBoost,NN-2L,0.12213740458015278,0.05352798053527985,0.04733727810650891,0.016528925619834732,1.3670886075949378,1.7386363636363638,0.08139534883720935,0.09724473257698543,1.2773109243697471,0.4497041420118333,0.044572250179726776,1.174468085106385,0.04651162790697662,0.12658227848101278,0.35172413793103474
CatBoost,RF,0.08396946564885503,0.7834549878345498,0.48915187376725827,0.8677685950413229,0.27004219409282737,0.18750000000000017,0.3139534883720929,0.7682333873581849,0.17647058823529335,0.3195266272189351,1.0797987059669303,0.2936170212765962,0.3953488372093023,0.24050632911392408,0.6068965517241384
CatBoost,SVM,0.8320610687022899,1.021897810218978,1.14792899408284,1.2685950413223148,0.44725738396624537,1.0170454545454546,0.6918604651162789,1.3387358184764995,0.10924369747899076,0.3195266272189351,1.3932422717469446,0.021276595744680448,0.9302325581395349,0.36075949367088606,0.36551724137931063
Count,EN,2.564885496183206,3.2749391727493915,1.372781065088757,2.6280991735537205,2.337552742616035,2.7500000000000004,2.848837209302325,1.6790923824959485,2.714285714285714,0.9585798816568041,1.1847591660675771,0.20425531914893685,13.953488372093021,2.594936708860759,0.8413793103448275
Count,GBT,0.030534351145038195,0.46228710462287104,0.21696252465483226,0.9214876033057855,0.6075949367088617,0.09659090909090919,0.17441860465116257,0.39870340356564016,0.5966386554621845,0.011834319526627227,1.0496046010064704,0.6085106382978729,0.4651162790697673,0.3860759493670886,1.1793103448275863
Count,KNN,3.045801526717557,1.7615571776155716,1.1637080867850098,1.5909090909090917,2.9113924050632933,1.960227272727273,3.5930232558139528,1.857374392220422,1.0252100840336136,1.2426035502958575,1.518332135154565,0.22127659574468347,1.3953488372093024,0.17088607594936706,0.08965517241379317
Count,NN-1L,10.068702290076335,0.5936739659367396,0.17357001972386576,0.25619834710743816,3.57805907172996,3.0738636363636362,10.308139534883718,0.5834683954619124,6.285714285714286,153.55029585798815,0.7491013659237958,1.4765957446808564,0.7674418604651161,4.4873417721518996,1.4620689655172416
Count,NN-2L,1.6030534351145034,0.5644768856447687,0.2248520710059171,0.10330578512396708,2.2784810126582293,1.8636363636363638,1.7906976744186038,0.460291734197731,0.478991596638655,162.40236686390529,0.393961179007908,1.174468085106385,0.7441860465116277,0.9810126582278482,0.20000000000000015
