,,,OrdinalEncoder
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.577 ±0.062
myeloid,KNeighborsRegressor,MAE,0.250 ±0.044
myeloid,KNeighborsRegressor,R2,0.661 ±0.059
myeloid,SVR,RMSE,0.550 ±0.062
myeloid,SVR,MAE,0.211 ±0.037
myeloid,SVR,R2,0.692 ±0.056
myeloid,RandomForestRegressor,RMSE,0.575 ±0.058
myeloid,RandomForestRegressor,MAE,0.261 ±0.040
myeloid,RandomForestRegressor,R2,0.661 ±0.070
myeloid,GradientBoostingRegressor,RMSE,0.619 ±0.090
myeloid,GradientBoostingRegressor,MAE,0.271 ±0.048
myeloid,GradientBoostingRegressor,R2,0.607 ±0.099
myeloid,MLPRegressor,RMSE,0.571 ±0.060
myeloid,MLPRegressor,MAE,0.248 ±0.044
myeloid,MLPRegressor,R2,0.665 ±0.079
myeloid,MLPRegressor2,RMSE,0.686 ±0.093
myeloid,MLPRegressor2,MAE,0.291 ±0.056
myeloid,MLPRegressor2,R2,0.515 ±0.123
us_rent_income,ElasticNet,RMSE,0.847 ±0.052
us_rent_income,ElasticNet,MAE,0.827 ±0.062
us_rent_income,ElasticNet,R2,0.265 ±0.092
us_rent_income,KNeighborsRegressor,RMSE,1.016 ±0.096
us_rent_income,KNeighborsRegressor,MAE,0.920 ±0.123
us_rent_income,KNeighborsRegressor,R2,-0.059 ±0.184
us_rent_income,SVR,RMSE,1.126 ±0.099
us_rent_income,SVR,MAE,1.089 ±0.165
us_rent_income,SVR,R2,-0.298 ±0.204
us_rent_income,RandomForestRegressor,RMSE,0.214 ±0.034
us_rent_income,RandomForestRegressor,MAE,0.031 ±0.016
us_rent_income,RandomForestRegressor,R2,0.953 ±0.013
us_rent_income,GradientBoostingRegressor,RMSE,0.237 ±0.042
us_rent_income,GradientBoostingRegressor,MAE,0.037 ±0.012
us_rent_income,GradientBoostingRegressor,R2,0.942 ±0.018
us_rent_income,MLPRegressor,RMSE,0.845 ±0.280
us_rent_income,MLPRegressor,MAE,0.663 ±0.354
us_rent_income,MLPRegressor,R2,0.175 ±0.479
us_rent_income,MLPRegressor2,RMSE,0.421 ±0.173
us_rent_income,MLPRegressor2,MAE,0.218 ±0.189
us_rent_income,MLPRegressor2,R2,0.790 ±0.223
Baseball,ElasticNet,RMSE,0.706 ±0.055
Baseball,ElasticNet,MAE,0.526 ±0.042
Baseball,ElasticNet,R2,0.500 ±0.031
Baseball,KNeighborsRegressor,RMSE,0.760 ±0.060
Baseball,KNeighborsRegressor,MAE,0.491 ±0.053
Baseball,KNeighborsRegressor,R2,0.416 ±0.083
Baseball,SVR,RMSE,0.483 ±0.047
Baseball,SVR,MAE,0.298 ±0.038
Baseball,SVR,R2,0.764 ±0.033
Baseball,RandomForestRegressor,RMSE,0.380 ±0.036
Baseball,RandomForestRegressor,MAE,0.225 ±0.018
Baseball,RandomForestRegressor,R2,0.854 ±0.027
Baseball,GradientBoostingRegressor,RMSE,0.368 ±0.032
Baseball,GradientBoostingRegressor,MAE,0.231 ±0.027
Baseball,GradientBoostingRegressor,R2,0.863 ±0.023
Baseball,MLPRegressor,RMSE,0.583 ±0.287
Baseball,MLPRegressor,MAE,0.399 ±0.236
Baseball,MLPRegressor,R2,0.590 ±0.429
Baseball,MLPRegressor2,RMSE,0.449 ±0.047
Baseball,MLPRegressor2,MAE,0.276 ±0.029
Baseball,MLPRegressor2,R2,0.798 ±0.024
