,,,BaseNEncoder
UKHouseOfCommons,MLPRegressor,R2,0.954 ±0.015
UKHouseOfCommons,MLPRegressor2,RMSE,0.197 ±0.027
UKHouseOfCommons,MLPRegressor2,MAE,0.113 ±0.017
UKHouseOfCommons,MLPRegressor2,R2,0.961 ±0.008
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.595 ±0.065
myeloid,KNeighborsRegressor,MAE,0.282 ±0.046
myeloid,KNeighborsRegressor,R2,0.639 ±0.060
myeloid,SVR,RMSE,0.560 ±0.067
myeloid,SVR,MAE,0.225 ±0.045
myeloid,SVR,R2,0.680 ±0.061
myeloid,RandomForestRegressor,RMSE,0.577 ±0.059
myeloid,RandomForestRegressor,MAE,0.261 ±0.043
myeloid,RandomForestRegressor,R2,0.659 ±0.068
myeloid,GradientBoostingRegressor,RMSE,0.620 ±0.086
myeloid,GradientBoostingRegressor,MAE,0.272 ±0.045
myeloid,GradientBoostingRegressor,R2,0.606 ±0.095
myeloid,MLPRegressor,RMSE,0.605 ±0.069
myeloid,MLPRegressor,MAE,0.263 ±0.050
myeloid,MLPRegressor,R2,0.624 ±0.086
myeloid,MLPRegressor2,RMSE,0.707 ±0.092
myeloid,MLPRegressor2,MAE,0.289 ±0.056
myeloid,MLPRegressor2,R2,0.484 ±0.143
us_rent_income,ElasticNet,RMSE,0.836 ±0.054
us_rent_income,ElasticNet,MAE,0.810 ±0.068
us_rent_income,ElasticNet,R2,0.285 ±0.089
us_rent_income,KNeighborsRegressor,RMSE,0.206 ±0.034
us_rent_income,KNeighborsRegressor,MAE,0.030 ±0.012
us_rent_income,KNeighborsRegressor,R2,0.956 ±0.011
us_rent_income,SVR,RMSE,0.281 ±0.065
us_rent_income,SVR,MAE,0.122 ±0.019
us_rent_income,SVR,R2,0.917 ±0.032
us_rent_income,RandomForestRegressor,RMSE,0.208 ±0.029
us_rent_income,RandomForestRegressor,MAE,0.030 ±0.013
us_rent_income,RandomForestRegressor,R2,0.956 ±0.010
us_rent_income,GradientBoostingRegressor,RMSE,0.235 ±0.030
us_rent_income,GradientBoostingRegressor,MAE,0.032 ±0.013
us_rent_income,GradientBoostingRegressor,R2,0.943 ±0.014
us_rent_income,MLPRegressor,RMSE,0.238 ±0.043
us_rent_income,MLPRegressor,MAE,0.122 ±0.044
us_rent_income,MLPRegressor,R2,0.942 ±0.018
us_rent_income,MLPRegressor2,RMSE,0.215 ±0.040
us_rent_income,MLPRegressor2,MAE,0.089 ±0.035
us_rent_income,MLPRegressor2,R2,0.952 ±0.015
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.506 ±0.038
Baseball,KNeighborsRegressor,MAE,0.315 ±0.031
Baseball,KNeighborsRegressor,R2,0.740 ±0.042
Baseball,SVR,RMSE,0.478 ±0.068
Baseball,SVR,MAE,0.267 ±0.027
Baseball,SVR,R2,0.771 ±0.036
Baseball,RandomForestRegressor,RMSE,0.380 ±0.034
Baseball,RandomForestRegressor,MAE,0.225 ±0.019
Baseball,RandomForestRegressor,R2,0.854 ±0.025
Baseball,GradientBoostingRegressor,RMSE,0.370 ±0.032
Baseball,GradientBoostingRegressor,MAE,0.229 ±0.025
Baseball,GradientBoostingRegressor,R2,0.861 ±0.023
Baseball,MLPRegressor,RMSE,0.415 ±0.031
Baseball,MLPRegressor,MAE,0.268 ±0.023
Baseball,MLPRegressor,R2,0.825 ±0.029
Baseball,MLPRegressor2,RMSE,0.401 ±0.025
Baseball,MLPRegressor2,MAE,0.259 ±0.026
Baseball,MLPRegressor2,R2,0.837 ±0.023
