,,,JamesSteinEncoder
ca2006,ElasticNet,MAE,0.598 ±0.205
ca2006,ElasticNet,R2,0.384 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.660 ±0.235
ca2006,KNeighborsRegressor,MAE,0.429 ±0.171
ca2006,KNeighborsRegressor,R2,0.513 ±0.321
ca2006,SVR,RMSE,0.654 ±0.238
ca2006,SVR,MAE,0.295 ±0.180
ca2006,SVR,R2,0.539 ±0.253
ca2006,RandomForestRegressor,RMSE,0.486 ±0.190
ca2006,RandomForestRegressor,MAE,0.266 ±0.122
ca2006,RandomForestRegressor,R2,0.742 ±0.157
ca2006,GradientBoostingRegressor,RMSE,0.418 ±0.165
ca2006,GradientBoostingRegressor,MAE,0.245 ±0.114
ca2006,GradientBoostingRegressor,R2,0.804 ±0.134
ca2006,MLPRegressor,RMSE,0.417 ±0.140
ca2006,MLPRegressor,MAE,0.245 ±0.106
ca2006,MLPRegressor,R2,0.793 ±0.135
ca2006,MLPRegressor2,RMSE,0.386 ±0.090
ca2006,MLPRegressor2,MAE,0.214 ±0.066
ca2006,MLPRegressor2,R2,0.833 ±0.071
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.371 ±0.044
UKHouseOfCommons,KNeighborsRegressor,MAE,0.157 ±0.012
UKHouseOfCommons,KNeighborsRegressor,R2,0.862 ±0.022
UKHouseOfCommons,SVR,RMSE,0.309 ±0.090
UKHouseOfCommons,SVR,MAE,0.062 ±0.007
UKHouseOfCommons,SVR,R2,0.902 ±0.043
UKHouseOfCommons,RandomForestRegressor,RMSE,0.253 ±0.054
UKHouseOfCommons,RandomForestRegressor,MAE,0.093 ±0.009
UKHouseOfCommons,RandomForestRegressor,R2,0.935 ±0.022
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.197 ±0.042
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.085 ±0.010
UKHouseOfCommons,GradientBoostingRegressor,R2,0.961 ±0.013
UKHouseOfCommons,MLPRegressor,RMSE,0.133 ±0.035
UKHouseOfCommons,MLPRegressor,MAE,0.053 ±0.008
UKHouseOfCommons,MLPRegressor,R2,0.982 ±0.008
UKHouseOfCommons,MLPRegressor2,RMSE,0.102 ±0.027
UKHouseOfCommons,MLPRegressor2,MAE,0.036 ±0.006
UKHouseOfCommons,MLPRegressor2,R2,0.989 ±0.005
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.569 ±0.064
myeloid,KNeighborsRegressor,MAE,0.256 ±0.055
myeloid,KNeighborsRegressor,R2,0.671 ±0.058
myeloid,SVR,RMSE,0.563 ±0.070
myeloid,SVR,MAE,0.216 ±0.045
myeloid,SVR,R2,0.677 ±0.062
myeloid,RandomForestRegressor,RMSE,0.573 ±0.059
myeloid,RandomForestRegressor,MAE,0.261 ±0.040
myeloid,RandomForestRegressor,R2,0.663 ±0.072
myeloid,GradientBoostingRegressor,RMSE,0.621 ±0.090
