,,,BackwardDifferenceEncoder
us_rent_income,MLPRegressor2,MAE,0.172 ±0.051
us_rent_income,MLPRegressor2,R2,0.897 ±0.029
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.559 ±0.041
Baseball,KNeighborsRegressor,MAE,0.355 ±0.030
Baseball,KNeighborsRegressor,R2,0.683 ±0.046
Baseball,SVR,RMSE,0.490 ±0.071
Baseball,SVR,MAE,0.268 ±0.031
Baseball,SVR,R2,0.760 ±0.038
Baseball,RandomForestRegressor,RMSE,0.382 ±0.035
Baseball,RandomForestRegressor,MAE,0.224 ±0.019
Baseball,RandomForestRegressor,R2,0.852 ±0.025
Baseball,GradientBoostingRegressor,RMSE,0.369 ±0.031
Baseball,GradientBoostingRegressor,MAE,0.231 ±0.030
Baseball,GradientBoostingRegressor,R2,0.862 ±0.023
Baseball,MLPRegressor,RMSE,0.464 ±0.040
Baseball,MLPRegressor,MAE,0.297 ±0.030
Baseball,MLPRegressor,R2,0.781 ±0.039
Baseball,MLPRegressor2,RMSE,0.424 ±0.033
Baseball,MLPRegressor2,MAE,0.268 ±0.033
Baseball,MLPRegressor2,R2,0.817 ±0.029
