,,,GLMMEncoder
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.204
ca2006,ElasticNet,R2,0.383 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.668 ±0.244
ca2006,KNeighborsRegressor,MAE,0.429 ±0.176
ca2006,KNeighborsRegressor,R2,0.500 ±0.336
ca2006,SVR,RMSE,0.652 ±0.236
ca2006,SVR,MAE,0.292 ±0.179
ca2006,SVR,R2,0.541 ±0.251
ca2006,RandomForestRegressor,RMSE,0.480 ±0.189
ca2006,RandomForestRegressor,MAE,0.284 ±0.125
ca2006,RandomForestRegressor,R2,0.751 ±0.143
ca2006,GradientBoostingRegressor,RMSE,0.417 ±0.156
ca2006,GradientBoostingRegressor,MAE,0.253 ±0.117
ca2006,GradientBoostingRegressor,R2,0.804 ±0.122
ca2006,MLPRegressor,RMSE,0.452 ±0.132
ca2006,MLPRegressor,MAE,0.270 ±0.093
ca2006,MLPRegressor,R2,0.774 ±0.108
ca2006,MLPRegressor2,RMSE,0.397 ±0.110
ca2006,MLPRegressor2,MAE,0.225 ±0.098
ca2006,MLPRegressor2,R2,0.824 ±0.077
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.361 ±0.044
UKHouseOfCommons,KNeighborsRegressor,MAE,0.155 ±0.012
UKHouseOfCommons,KNeighborsRegressor,R2,0.870 ±0.021
UKHouseOfCommons,SVR,RMSE,0.302 ±0.091
UKHouseOfCommons,SVR,MAE,0.063 ±0.006
UKHouseOfCommons,SVR,R2,0.906 ±0.043
UKHouseOfCommons,RandomForestRegressor,RMSE,0.258 ±0.057
UKHouseOfCommons,RandomForestRegressor,MAE,0.093 ±0.009
UKHouseOfCommons,RandomForestRegressor,R2,0.932 ±0.024
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.196 ±0.045
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.084 ±0.007
UKHouseOfCommons,GradientBoostingRegressor,R2,0.961 ±0.014
UKHouseOfCommons,MLPRegressor,RMSE,0.117 ±0.022
UKHouseOfCommons,MLPRegressor,MAE,0.052 ±0.007
UKHouseOfCommons,MLPRegressor,R2,0.986 ±0.004
UKHouseOfCommons,MLPRegressor2,RMSE,0.100 ±0.027
UKHouseOfCommons,MLPRegressor2,MAE,0.034 ±0.005
UKHouseOfCommons,MLPRegressor2,R2,0.990 ±0.005
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.567 ±0.064
myeloid,KNeighborsRegressor,MAE,0.261 ±0.053
myeloid,KNeighborsRegressor,R2,0.673 ±0.059
myeloid,SVR,RMSE,0.564 ±0.071
myeloid,SVR,MAE,0.217 ±0.044
myeloid,SVR,R2,0.676 ±0.063
myeloid,RandomForestRegressor,RMSE,0.578 ±0.059
myeloid,RandomForestRegressor,MAE,0.260 ±0.045
myeloid,RandomForestRegressor,R2,0.657 ±0.067
myeloid,GradientBoostingRegressor,RMSE,0.620 ±0.089
myeloid,GradientBoostingRegressor,MAE,0.266 ±0.048
