,,,PolynomialEncoder
UKHouseOfCommons,MLPRegressor2,MAE,0.066 ±0.010
UKHouseOfCommons,MLPRegressor2,R2,0.977 ±0.007
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.595 ±0.065
myeloid,KNeighborsRegressor,MAE,0.282 ±0.046
myeloid,KNeighborsRegressor,R2,0.639 ±0.060
myeloid,SVR,RMSE,0.558 ±0.066
myeloid,SVR,MAE,0.222 ±0.042
myeloid,SVR,R2,0.683 ±0.060
myeloid,RandomForestRegressor,RMSE,0.573 ±0.054
myeloid,RandomForestRegressor,MAE,0.265 ±0.037
myeloid,RandomForestRegressor,R2,0.663 ±0.066
myeloid,GradientBoostingRegressor,RMSE,0.619 ±0.089
myeloid,GradientBoostingRegressor,MAE,0.272 ±0.049
myeloid,GradientBoostingRegressor,R2,0.606 ±0.100
myeloid,MLPRegressor,RMSE,0.606 ±0.065
myeloid,MLPRegressor,MAE,0.271 ±0.044
myeloid,MLPRegressor,R2,0.623 ±0.085
myeloid,MLPRegressor2,RMSE,0.700 ±0.084
myeloid,MLPRegressor2,MAE,0.298 ±0.049
myeloid,MLPRegressor2,R2,0.491 ±0.160
us_rent_income,ElasticNet,RMSE,0.796 ±0.050
us_rent_income,ElasticNet,MAE,0.771 ±0.058
us_rent_income,ElasticNet,R2,0.352 ±0.065
us_rent_income,KNeighborsRegressor,RMSE,0.199 ±0.029
us_rent_income,KNeighborsRegressor,MAE,0.028 ±0.011
us_rent_income,KNeighborsRegressor,R2,0.960 ±0.009
us_rent_income,SVR,RMSE,0.302 ±0.051
us_rent_income,SVR,MAE,0.222 ±0.027
us_rent_income,SVR,R2,0.906 ±0.027
us_rent_income,RandomForestRegressor,RMSE,0.203 ±0.035
us_rent_income,RandomForestRegressor,MAE,0.029 ±0.008
us_rent_income,RandomForestRegressor,R2,0.958 ±0.012
us_rent_income,GradientBoostingRegressor,RMSE,0.208 ±0.034
us_rent_income,GradientBoostingRegressor,MAE,0.030 ±0.009
us_rent_income,GradientBoostingRegressor,R2,0.955 ±0.012
us_rent_income,MLPRegressor,RMSE,0.337 ±0.070
us_rent_income,MLPRegressor,MAE,0.206 ±0.069
us_rent_income,MLPRegressor,R2,0.881 ±0.044
us_rent_income,MLPRegressor2,RMSE,0.238 ±0.039
us_rent_income,MLPRegressor2,MAE,0.115 ±0.028
us_rent_income,MLPRegressor2,R2,0.942 ±0.017
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.496 ±0.040
Baseball,KNeighborsRegressor,MAE,0.314 ±0.037
Baseball,KNeighborsRegressor,R2,0.751 ±0.036
Baseball,SVR,RMSE,0.476 ±0.068
Baseball,SVR,MAE,0.259 ±0.029
Baseball,SVR,R2,0.774 ±0.034
Baseball,RandomForestRegressor,RMSE,0.408 ±0.038
Baseball,RandomForestRegressor,MAE,0.238 ±0.021
Baseball,RandomForestRegressor,R2,0.832 ±0.027
Baseball,GradientBoostingRegressor,RMSE,0.382 ±0.036
Baseball,GradientBoostingRegressor,MAE,0.235 ±0.026
Baseball,GradientBoostingRegressor,R2,0.852 ±0.028
Baseball,MLPRegressor,RMSE,0.447 ±0.041
Baseball,MLPRegressor,MAE,0.285 ±0.025
Baseball,MLPRegressor,R2,0.798 ±0.026
Baseball,MLPRegressor2,RMSE,0.407 ±0.027
Baseball,MLPRegressor2,MAE,0.257 ±0.022
Baseball,MLPRegressor2,R2,0.831 ±0.030
